Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-03-28,2014,3,28,Friday,12,2014-12,76.26,76.6,75.77,76.01,5871100.0,65.28,-0.001707345080904199,75.49857142857145,74.75700000000002
2014-03-31,2014,3,31,Monday,13,2014-13,76.35,76.78,76.02,76.43,4695600.0,65.64,0.005525564493374935,75.6064285714286,74.75040000000001
2014-04-01,2014,4,1,Tuesday,13,2014-13,76.76,77.25,76.54,76.77,5770000.0,65.93,0.004448467048711935,75.69500000000002,74.76200000000001
2014-04-02,2014,4,2,Wednesday,13,2014-13,76.58,77.19,76.34,77.18,6078100.0,66.28,0.005340675785302507,75.8557142857143,74.78880000000001
2014-04-03,2014,4,3,Thursday,13,2014-13,77.2,77.55,77.0,77.46,6040500.0,66.52,0.0036278670405511804,76.08285714285716,74.83100000000002
2014-04-04,2014,4,4,Friday,13,2014-13,77.58,77.9,77.25,77.31,6760200.0,66.4,-0.0019365030680587036,76.2707142857143,74.87800000000001
2014-04-07,2014,4,7,Monday,14,2014-14,77.23,77.72,77.09,77.31,7675700.0,66.4,0.0,76.45214285714287,74.93580000000001
2014-04-08,2014,4,8,Tuesday,14,2014-14,77.09,78.31,76.8,78.18,7498700.0,67.14,0.011253431303275496,76.72357142857143,75.0164
2014-04-09,2014,4,9,Wednesday,14,2014-14,78.2,78.22,77.28,77.97,6877800.0,66.96,-0.002686097258287612,76.90857142857145,75.08239999999999
2014-04-10,2014,4,10,Thursday,14,2014-14,77.95,78.14,76.65,76.89,7599600.0,66.03,-0.013851504606208986,76.96500000000003,75.1382
2014-04-11,2014,4,11,Friday,14,2014-14,76.78,77.23,76.29,76.5,7979000.0,65.7,-0.005072173140125424,76.9464285714286,75.1732
2014-04-14,2014,4,14,Monday,15,2014-15,76.94,77.55,76.79,77.38,5375900.0,66.46,0.011503232070823044,76.98285714285718,75.2272
2014-04-15,2014,4,15,Tuesday,15,2014-15,77.03,77.31,76.44,76.88,6928600.0,66.03,-0.006461618218497889,77.02928571428576,75.31160000000001
2014-04-16,2014,4,16,Wednesday,15,2014-15,77.31,77.47,77.03,77.22,5036800.0,66.32,0.004422528348491106,77.10642857142862,75.40140000000001
2014-04-17,2014,4,17,Thursday,15,2014-15,77.08,77.75,77.08,77.66,6964700.0,66.7,0.005698037224173058,77.22428571428577,75.4972
2014-04-21,2014,4,21,Monday,16,2014-16,77.41,77.73,77.18,77.6,4595100.0,66.64,-0.000772665273740647,77.30785714285719,75.5928
2014-04-22,2014,4,22,Tuesday,16,2014-16,77.52,77.83,77.39,77.56,6465500.0,66.61,-0.0005154757256945475,77.36428571428576,75.669
2014-04-23,2014,4,23,Wednesday,16,2014-16,77.82,78.28,77.57,78.04,5806200.0,67.02,0.006188800567856756,77.42571428571432,75.7546
2014-04-24,2014,4,24,Thursday,16,2014-16,78.17,78.47,77.7,78.31,4347500.0,67.25,0.0034597211673363937,77.4864285714286,75.82479999999998
2014-04-25,2014,4,25,Friday,16,2014-16,78.31,78.78,78.02,78.62,5392600.0,67.52,0.003958692346482717,77.58000000000003,75.89799999999998
2014-04-28,2014,4,28,Monday,17,2014-17,78.86,79.99,78.83,79.76,9598700.0,68.5,0.014500118924226202,77.75500000000002,75.98599999999999
2014-04-29,2014,4,29,Tuesday,17,2014-17,79.84,79.87,79.57,79.67,4695700.0,68.42,-0.0011284348655286047,77.8614285714286,76.0636
2014-04-30,2014,4,30,Wednesday,17,2014-17,79.59,79.93,79.51,79.71,6111700.0,68.46,0.0005020825460861911,77.98571428571431,76.15119999999999
2014-05-01,2014,5,1,Thursday,17,2014-17,79.73,79.73,79.16,79.7,5098000.0,68.45,-0.00012548157502634272,78.18642857142859,76.24819999999998
2014-05-02,2014,5,2,Friday,17,2014-17,79.6,79.76,79.01,79.12,5620000.0,67.95,-0.007277217363468758,78.37357142857147,76.36019999999999
2014-05-05,2014,5,5,Monday,18,2014-18,78.86,78.95,78.51,78.62,4591000.0,67.52,-0.0063195144418976,78.46214285714288,76.47019999999999
2014-05-06,2014,5,6,Tuesday,18,2014-18,78.33,78.39,77.97,78.01,5638900.0,67.0,-0.0077588474820815545,78.54285714285717,76.56339999999999
2014-05-07,2014,5,7,Wednesday,18,2014-18,77.85,78.1,77.53,77.96,6086200.0,67.37,-0.0006409825713180606,78.59571428571431,76.65559999999999
2014-05-08,2014,5,8,Thursday,18,2014-18,78.0,78.83,78.0,78.69,4820600.0,68.0,0.009363819465192824,78.66928571428573,76.73379999999999
2014-05-09,2014,5,9,Friday,18,2014-18,78.52,79.28,78.52,79.2,4896400.0,68.44,0.006481058470111156,78.78357142857146,76.82659999999998
2014-05-12,2014,5,12,Monday,19,2014-19,78.95,79.23,78.65,79.15,5999800.0,68.4,-0.0006312553571934387,78.8971428571429,76.9156
2014-05-13,2014,5,13,Tuesday,19,2014-19,79.17,79.37,78.99,79.14,4363700.0,68.39,-0.0001263693750808148,78.97571428571435,77.01599999999999
2014-05-14,2014,5,14,Wednesday,19,2014-19,79.05,79.05,78.07,78.74,5608300.0,68.04,-0.005054353411218626,79.00642857142863,77.08819999999999
2014-05-15,2014,5,15,Thursday,19,2014-19,76.28,77.44,76.25,76.83,13035800.0,66.39,-0.024256998787571593,78.87857142857148,77.12879999999998
2014-05-16,2014,5,16,Friday,19,2014-19,77.0,77.38,76.65,77.01,7243800.0,66.55,0.0023428387463999556,78.6821428571429,77.17139999999999
2014-05-19,2014,5,19,Monday,20,2014-20,77.11,77.13,76.5,76.61,6131300.0,66.2,-0.005194150302337386,78.46357142857146,77.21199999999999
2014-05-20,2014,5,20,Tuesday,20,2014-20,76.36,76.37,75.52,75.69,7436700.0,65.41,-0.01200885212916969,78.1764285714286,77.23719999999999
2014-05-21,2014,5,21,Wednesday,20,2014-20,75.94,75.96,75.27,75.66,5704100.0,65.38,-0.0003963374069131387,77.88785714285719,77.252
2014-05-22,2014,5,22,Thursday,20,2014-20,75.79,75.92,75.24,75.39,5243700.0,65.15,-0.0035686526485876335,77.62142857142862,77.24919999999999
2014-05-23,2014,5,23,Friday,20,2014-20,75.56,75.75,75.43,75.61,3703600.0,65.34,0.002918175122486266,77.4064285714286,77.26279999999998
2014-05-27,2014,5,27,Tuesday,21,2014-21,75.71,75.81,75.29,75.59,5370800.0,65.32,-0.00026457178018057803,77.23357142857147,77.28899999999999
2014-05-28,2014,5,28,Wednesday,21,2014-21,75.38,75.94,75.34,75.53,5036900.0,65.27,-0.0007937235282504673,77.06000000000003,77.306
2014-05-29,2014,5,29,Thursday,21,2014-21,75.67,76.19,75.57,75.98,4003500.0,65.66,0.0059579582273219245,76.8664285714286,77.33019999999999
2014-05-30,2014,5,30,Friday,21,2014-21,76.06,76.81,76.01,76.77,5964800.0,66.34,0.010397384196229043,76.69285714285716,77.37799999999999
2014-06-02,2014,6,2,Monday,22,2014-22,76.58,77.11,76.47,76.76,4390400.0,66.33,-0.0001301876680079861,76.52214285714287,77.40559999999999
2014-06-03,2014,6,3,Tuesday,22,2014-22,76.74,76.97,76.36,76.71,7213600.0,66.29,-0.0006514206665740874,76.34857142857143,77.4178
2014-06-04,2014,6,4,Wednesday,22,2014-22,76.6,77.3,76.53,77.13,6199900.0,66.65,0.005475142405917843,76.23357142857144,77.42519999999999
2014-06-05,2014,6,5,Thursday,22,2014-22,77.05,77.44,76.87,77.32,4695800.0,66.82,0.0024634052660728045,76.26857142857145,77.4342
2014-06-06,2014,6,6,Friday,22,2014-22,77.46,77.59,77.07,77.21,4188900.0,66.72,-0.0014226669786048252,76.28285714285717,77.4538
2014-06-09,2014,6,9,Monday,23,2014-23,77.07,77.76,76.7,77.01,5547600.0,66.55,-0.002590298544407177,76.31142857142859,77.47120000000001
2014-06-10,2014,6,10,Tuesday,23,2014-23,76.81,76.94,76.51,76.62,3365700.0,66.21,-0.005064269300480317,76.37785714285717,77.4834
2014-06-11,2014,6,11,Wednesday,23,2014-23,76.55,76.74,76.05,76.16,4463300.0,65.81,-0.006003642234183815,76.41357142857146,77.47800000000001
2014-06-12,2014,6,12,Thursday,23,2014-23,76.05,76.19,75.58,75.73,5336600.0,65.44,-0.005646012138911027,76.43785714285717,77.4572
2014-06-13,2014,6,13,Friday,23,2014-23,75.67,75.76,75.12,75.28,4981500.0,65.05,-0.005942223130715352,76.41428571428574,77.4192
2014-06-16,2014,6,16,Monday,24,2014-24,75.11,75.48,75.02,75.34,3846900.0,65.1,0.0007969920239989658,76.3964285714286,77.37680000000002
2014-06-17,2014,6,17,Tuesday,24,2014-24,75.29,75.42,74.92,74.99,6544200.0,64.8,-0.004645586556062398,76.35785714285717,77.33040000000001
2014-06-18,2014,6,18,Wednesday,24,2014-24,75.04,75.96,74.92,75.7,6740700.0,65.42,0.009467917118259894,76.33785714285717,77.29820000000001
2014-06-19,2014,6,19,Thursday,24,2014-24,75.88,76.28,75.8,75.87,5255300.0,65.56,0.0022457834239555385,76.27357142857146,77.25200000000001
2014-06-20,2014,6,20,Friday,24,2014-24,76.16,76.17,75.12,75.68,11330700.0,65.4,-0.002504315731223672,76.1964285714286,77.20620000000001
2014-06-23,2014,6,23,Monday,25,2014-25,75.56,75.94,75.3,75.79,4267400.0,65.49,0.0014534964311310183,76.13071428571432,77.1842
2014-06-24,2014,6,24,Tuesday,25,2014-25,76.03,76.21,75.68,75.97,5652300.0,65.65,0.0023749875049665636,76.04785714285718,77.17360000000001
2014-06-25,2014,6,25,Wednesday,25,2014-25,75.76,75.84,75.28,75.62,4318200.0,65.35,-0.004607061583483452,75.9264285714286,77.1384
2014-06-26,2014,6,26,Thursday,25,2014-25,75.52,75.61,74.7,74.91,6922100.0,64.73,-0.009389038067771693,75.76214285714289,77.09899999999999
2014-06-27,2014,6,27,Friday,25,2014-25,74.8,75.38,74.67,75.34,13960800.0,65.1,0.00574012354505804,75.64285714285718,77.0614
2014-06-30,2014,6,30,Monday,26,2014-26,75.4,75.69,74.94,75.07,6653800.0,64.87,-0.0035837092671933135,75.53214285714287,77.0096
2014-07-01,2014,7,1,Tuesday,26,2014-26,75.27,75.42,74.75,75.28,6604500.0,65.05,0.0027973769192266573,75.46928571428573,76.96320000000001
2014-07-02,2014,7,2,Wednesday,26,2014-26,75.26,75.9,75.25,75.62,4366800.0,65.35,0.004516524612094841,75.46142857142857,76.92440000000002
2014-07-03,2014,7,3,Thursday,26,2014-26,75.61,76.05,75.52,75.75,2874000.0,65.46,0.0017190855421365114,75.495,76.87860000000002
2014-07-07,2014,7,7,Monday,27,2014-27,75.69,76.21,75.55,76.07,5028000.0,65.73,0.004224418413520947,75.54714285714286,76.83380000000002
2014-07-08,2014,7,8,Tuesday,27,2014-27,76.09,76.98,76.03,76.65,7960500.0,66.24,0.007624580430938943,75.6657142857143,76.79440000000002
2014-07-09,2014,7,9,Wednesday,27,2014-27,76.77,77.33,76.62,77.21,6240100.0,66.72,0.007305904076266412,75.77357142857144,76.74340000000002
2014-07-10,2014,7,10,Thursday,27,2014-27,76.91,77.57,76.91,77.06,5372500.0,66.59,-0.0019427733150830795,75.85857142857142,76.69120000000002
2014-07-11,2014,7,11,Friday,27,2014-27,76.87,76.97,76.56,76.82,4547500.0,66.38,-0.0031144286448626657,75.93999999999998,76.63340000000002
